Sucursal,Asesor,Codigo Asesor,Cliente,Codigo Cliente,U.E.,Litros Empaque,Producto,Litros Potenciales
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,Bidon,"20,000",CAR MINE COOLANT FLUID - 50/50,"20,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,Paila,19,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"608,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"19,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,Paila,19,ECO GREASE COMPLEX HT-EP,"19,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"832,00"
Puerto la Cruz,Abel Briceño,80068,"SERVICIOS PICARDI, C.A",29068,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"190,00"
Puerto la Cruz,Abel Briceño,80068,"SERVICIOS PICARDI, C.A",29068,Paila,19,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"190,00"
Puerto la Cruz,Abel Briceño,80068,"TIGASCO GAS LICUADO, C.A",63407,Paila,19,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"38,00"
Valencia,Lucia Torres,78077,CLOVER INTERNACIONAL. C.A,37488,Tambor,208,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"416,00"
Valencia,Lucia Torres,78077,CLOVER INTERNACIONAL. C.A,37488,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
Valencia,Lucia Torres,78077,"ALPLA DE VENEZUELA, S.A.",73305,Paila,19,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"57,00"
Valencia,Lucia Torres,78077,"INTERAMERICANA DE CABLES VENEZUELA,S.A.",37870,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"1.083,00"
Valencia,Lucia Torres,78077,"INTERAMERICANA DE CABLES VENEZUELA,S.A.",37870,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Valencia,Lucia Torres,78077,"INTERAMERICANA DE CABLES VENEZUELA,S.A.",37870,Tambor,208,ECO DYN PREMIUM TURBINE OIL HT ISO 46,"208,00"
Valencia,Lucia Torres,78077,"AMCOR RIGID PACKAGING DE VENEZUELA, S.A.",79138,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
Valencia,Lucia Torres,78077,LP LIDER POLLO C.A.,59584,Tambor,208,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"208,00"
Valencia,Lucia Torres,78077,LP LIDER POLLO C.A.,59584,Tambor,208,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"208,00"
Valencia,Lucia Torres,78077,LP LIDER POLLO C.A.,59584,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Valencia,Lucia Torres,78077,"VENELUX,C.A.",64998,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"57,00"
Valencia,Lucia Torres,78077,DAYCOHOST,,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"38,00"
Valencia,Lucia Torres,78077,DAYCOHOST,,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"624,00"
Valencia,Lucia Torres,78077,C.A CERVECERIA REGIONAL,78388,Paila,19,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"57,00"
Valencia,Lucia Torres,78077,Andinon,PNEUS,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5 SAE 85W140,"57,00"
Valencia,Lucia Torres,78077,Andinon,PNEUS,Paila,19,ECO GREASE COMPLEX HT-EP,"19,00"
Valencia,Lucia Torres,78077,Andinon,PNEUS,Tambor,208,ECO DYN INDUSTRIAL GEAR OIL EP 220,"208,00"
Valencia,Lucia Torres,78077,"COCA-COLA FEMSA DE VENEZUELA, S.A",73304,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"416,00"
Valencia,Lucia Torres,78077,"COCA-COLA FEMSA DE VENEZUELA, S.A",73304,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 32,"208,00"
Valencia,Lucia Torres,78077,"COCA-COLA FEMSA DE VENEZUELA, S.A",73304,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Valencia,Lucia Torres,78077,"COCA-COLA FEMSA DE VENEZUELA, S.A",73304,Tambor,208,ECO DYN INDUSTRIAL GEAR OIL EP 220,"208,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"57,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Paila,19,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"38,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"624,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"624,00"
Valencia,Henry Urdaneta,45497,A A MATERIALES DE CONSTRUCCION,24232,Tambor,208,BIO MATIC CATERPILLAR TO-4 50,"416,00"
Valencia,Henry Urdaneta,45497,"INGEDAC INGENIERIA DAC, C.A",66773,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Valencia,Henry Urdaneta,45497,"INGEDAC INGENIERIA DAC, C.A",66773,Tambor,208,BIO MATIC CATERPILLAR TO-4 50,"832,00"
Valencia,Henry Urdaneta,45497,"INGEDAC INGENIERIA DAC, C.A",66773,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
