Cod. Chronus,Cod. CCV,Descripcion,Calidad / Categoria,USO,Unidad Empaque,Litros Unidad,LTS,Unidades x U.E,Venta Detalle
100311057,DEMD15W40,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,LUBRICANTES PARA MOTORES A DIESEL,Tambor,208,208,1,No
100211090,DEMT15W40,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,CI-4,LUBRICANTES PARA MOTORES A DIESEL,Tote Tank,1040,1040,1,No
100411055,DEMPSAE50,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,CF 50,LUBRICANTES PARA MOTORES A DIESEL,Paila,19,19,1,No
100311058,DEMDSAE50,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,CF 50,LUBRICANTES PARA MOTORES A DIESEL,Tambor,208,208,1,No
100211089,DEMTSAE50,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,CF 50,LUBRICANTES PARA MOTORES A DIESEL,Tote Tank,1040,1040,1,No
100313076,EIGASEN40,ECO DYN GAS ENGINES OIL SAE 40,NGEO 40,LUBRICANTES PARA MOTORES A GAS,Tambor,208,208,1,No
100413098,HPPAW32,ECO DYN PREMIUM HYDRAULIC OIL AW 32,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Paila,19,19,1,No
100313097,HPDAW32,ECO DYN PREMIUM HYDRAULIC OIL AW 32,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Tambor,208,208,1,No
100213099,#N/A,ECO DYN PREMIUM HYDRAULIC OIL AW 32,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Tote Tank,1040,1040,1,No
100413131,HPPAW46,ECO DYN PREMIUM HYDRAULIC OIL AW 46,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Paila,19,19,1,No
100313108,HPDAW46,ECO DYN PREMIUM HYDRAULIC OIL AW 46,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Tambor,208,208,1,No
100413054,HPPAW68,ECO DYN PREMIUM HYDRAULIC OIL AW 68,HD,LUBRICANTES PARA APLICACIONES INDUSTRIALES,Paila,19,19,1,No
